uniprot_id,entry_id,gene,protein_name,length,subcellular_location,ensembl_ids,n_binding_sites,binding_sites,keywords,disease,n_transmem
Q9H2H9,S38A1_HUMAN,SLC38A1,Sodium-coupled neutral amino acid symporter 1,487,Cell membrane;,ENST00000398637.10;ENST00000439706.5;ENST00000546893.5;ENST00000549049.5;ENST00000851697.1;ENST00000851698.1;ENST00000851699.1;ENST00000851700.1;ENST00000851701.1;ENST00000851702.1;ENST00000851703.1;ENST00000851704.1;ENST00000851705.1;ENST00000851706.1;ENST00000851708.1;ENST00000851709.1;ENST00000851710.1;ENST00000851711.1;ENST00000851712.1;ENST00000851713.1;ENST00000851714.1;ENST00000851715.1;ENST00000851716.1;ENST00000851717.1;ENST00000922816.1;ENST00000922817.1;ENST00000922818.1;ENST00000922819.1;ENST00000922820.1;ENST00000955604.1,0,,Amino-acid transport;Cell membrane;Disulfide bond;Glycoprotein;Ion transport;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Sodium;Sodium transport;Symport;Transmembrane;Transmembrane helix;Transport,,11
O60610,DIAP1_HUMAN,DIAPH1,Protein diaphanous homolog 1,1272,"Cell membrane; Cell projection, ruffle membrane; Cytoplasm, cytoskeleton; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome; Cytoplasm, cytoskeleton, spindle; Cytoplasm; Nucleus;",ENST00000389054.8;ENST00000518047.5,0,,3D-structure;Acetylation;Actin-binding;Alternative splicing;Cell membrane;Cell projection;Coiled coil;Cytoplasm;Cytoskeleton;Deafness;Direct protein sequencing;Disease variant;Epilepsy;Hearing;Membrane;Non-syndromic deafness;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;Repeat,"Deafness, autosomal dominant 1, with or without thrombocytopenia; Seizures, cortical blindness, and microcephaly syndrome;",0
P58743,S26A5_HUMAN,SLC26A5,Prestin,744,Lateral cell membrane;,ENST00000306312.8;ENST00000339444.10;ENST00000356767.8;ENST00000393723.2;ENST00000393730.5;ENST00000393735.6;ENST00000432958.6,1,398:salicylate,3D-structure;Alternative splicing;Cell membrane;Cell shape;Deafness;Glycoprotein;Hearing;Membrane;Motor protein;Non-syndromic deafness;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,"Deafness, autosomal recessive, 61;",14
Q9UM73,ALK_HUMAN,ALK,ALK tyrosine kinase receptor,1620,Cell membrane;,ENST00000389048.8,4,1124:ATP;1150:ATP;1197:ATP;1270:ATP,3D-structure;ATP-binding;Cell membrane;Chromosomal rearrangement;Disease variant;Disulfide bond;Glycoprotein;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Proteomics identification;Proto-oncogene;Receptor;Reference proteome;Repeat;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase,; ; ; Neuroblastoma 3; ; ; ;,1
P60520,GBRL2_HUMAN,GABARAPL2,Gamma-aminobutyric acid receptor-associated protein-like 2,117,"Cytoplasmic vesicle, autophagosome; Endoplasmic reticulum membrane; Golgi apparatus;",ENST00000037243.7,0,,3D-structure;Acetylation;Autophagy;Cytoplasmic vesicle;Endoplasmic reticulum;Golgi apparatus;Lipoprotein;Membrane;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Transport,,0
Q92730,RND1_HUMAN,RND1,Rho-related GTP-binding protein Rho6,232,"Cell membrane; Cytoplasm, cytoskeleton;",ENST00000309739.6,17,23:GTP;25:GTP;26:GTP;27:GTP;27:Mg(2+);28:GTP;39:GTP;40:GTP;42:GTP;45:GTP;45:Mg(2+);67:Mg(2+);70:GTP;126:GTP;128:GTP;169:GTP;170:GTP,3D-structure;Cell membrane;Cytoplasm;Cytoskeleton;GTP-binding;Hydrolase;Lipoprotein;Membrane;Methylation;Nucleotide-binding;Prenylation;Proteomics identification;Reference proteome,,0
Q9Y696,CLIC4_HUMAN,CLIC4,Chloride intracellular channel protein 4,253,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome; Cytoplasmic vesicle membrane; Nucleus; Cell membrane; Mitochondrion; Cell junction; Endoplasmic reticulum membrane;",ENST00000374379.9;ENST00000488683.1,0,,3D-structure;Acetylation;Cell junction;Cell membrane;Chloride;Chloride channel;Cytoplasm;Cytoplasmic vesicle;Cytoskeleton;Direct protein sequencing;Endoplasmic reticulum;Ion channel;Ion transport;Membrane;Mitochondrion;Nucleus;Oxidoreductase;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel,,1
Q13515,BFSP2_HUMAN,BFSP2,Phakinin,415,"Cell membrane; Cytoplasm; Cytoplasm, cytoskeleton; Cytoplasm, cell cortex;",ENST00000302334.3,0,,Acetylation;Cataract;Cell membrane;Coiled coil;Cytoplasm;Cytoskeleton;Disease variant;Eye lens protein;Intermediate filament;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Sensory transduction;Vision,"Cataract 12, multiple types;",0
Q6P3W7,SCYL2_HUMAN,SCYL2,SCY1-like protein 2,929,"Cytoplasmic vesicle, clathrin-coated vesicle; Golgi apparatus, trans-Golgi network membrane; Endosome membrane;",ENST00000360820.7;ENST00000872993.1;ENST00000872997.1;ENST00000872998.1,0,,Coiled coil;Cytoplasmic vesicle;Disease variant;Endosome;Golgi apparatus;Membrane;Phosphoprotein;Proteomics identification;Reference proteome,"Arthrogryposis multiplex congenita 4, neurogenic, with agenesis of the corpus callosum;",0
Q96RU3,FNBP1_HUMAN,FNBP1,Formin-binding protein 1,617,"Cytoplasm; Cytoplasm, cytoskeleton; Cytoplasm, cell cortex; Lysosome; Cytoplasmic vesicle; Cell membrane; Membrane, clathrin-coated pit;",ENST00000355681.3;ENST00000446176.7;ENST00000703532.1;ENST00000907739.1,0,,3D-structure;Acetylation;Alternative splicing;Cell membrane;Chromosomal rearrangement;Coated pit;Coiled coil;Cytoplasm;Cytoplasmic vesicle;Cytoskeleton;Endocytosis;Lipid-binding;Lysosome;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;SH3 domain,;,0
P51787,KCNQ1_HUMAN,KCNQ1,Potassium voltage-gated channel subfamily KQT member 1,676,Cell membrane; Cytoplasmic vesicle membrane; Early endosome; Membrane raft; Endoplasmic reticulum; Basolateral cell membrane; Apical cell membrane;,ENST00000155840.12;ENST00000335475.6,1,"244:a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-4,5-bisphosphate)",3D-structure;Alternative splicing;Atrial fibrillation;Calmodulin-binding;Cell membrane;Coiled coil;Cytoplasmic vesicle;Deafness;Diabetes mellitus;Disease variant;Endoplasmic reticulum;Endosome;Glycoprotein;Ion channel;Ion transport;Long QT syndrome;Membrane;Phosphoprotein;Potassium;Potassium channel;Potassium transport;Proteomics identification;Reference proteome;Short QT syndrome;Transmembrane;Transmembrane helix;Transport;Ubl conjugation;Voltage-gated channel,"Long QT syndrome 1; Jervell and Lange-Nielsen syndrome 1; Atrial fibrillation, familial, 3; Short QT syndrome 2; Type 2 diabetes mellitus;",6
P49903,SPS1_HUMAN,SEPHS1,Zincore component SEPHS1,392,Nucleus; Chromosome; Cytoplasm; Cell membrane; Nucleus membrane; Cytoplasm; Cytoplasm; Cytoplasm;,ENST00000327347.10;ENST00000378614.8;ENST00000545675.5;ENST00000877592.1;ENST00000925347.1;ENST00000925348.1;ENST00000925349.1;ENST00000925351.1;ENST00000925352.1;ENST00000925355.1,8,32:ATP;67:ATP;69:Mg(2+);87:ATP;110:ATP;110:Mg(2+);161:ATP;265:Mg(2+),3D-structure;Acetylation;Alternative splicing;ATP-binding;Cell membrane;Chromosome;Cytoplasm;Direct protein sequencing;Disease variant;Intellectual disability;Kinase;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Nucleus;Proteomics identification;Reference proteome;Selenium;Transcription;Transcription regulation;Transferase,Ververi-Brady syndrome 2;,0
Q3SXY8,AR13B_HUMAN,ARL13B,ADP-ribosylation factor-like protein 13B,428,"Cell projection, cilium membrane; Cell projection, cilium; Cell membrane; Cytoplasm, cytoskeleton;",ENST00000303097.11;ENST00000394222.8;ENST00000471138.5;ENST00000535334.5,3,28:GTP;71:GTP;130:GTP,Alternative splicing;Cell membrane;Cell projection;Ciliopathy;Cilium;Coiled coil;Cytoplasm;Cytoskeleton;Disease variant;GTP-binding;Isopeptide bond;Joubert syndrome;Lipoprotein;Membrane;Nucleotide-binding;Palmitate;Proteomics identification;Reference proteome;Ubl conjugation,Joubert syndrome 8;,0
Q9NTJ5,SAC1_HUMAN,SACM1L,Phosphatidylinositol-3-phosphatase SAC1,587,Endoplasmic reticulum membrane; Golgi apparatus membrane;,ENST00000389061.10;ENST00000438671.4,0,,Acetylation;Alternative splicing;Endoplasmic reticulum;Golgi apparatus;Hydrolase;Lipid metabolism;Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,2
Q96EV8,DTBP1_HUMAN,DTNBP1,Dysbindin,351,"Cytoplasm; Cytoplasmic vesicle membrane; Endosome membrane; Melanosome membrane; Postsynaptic density; Endoplasmic reticulum; Nucleus; Cytoplasm; Cytoplasmic vesicle membrane; Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Endosome membrane; Melanosome membrane; Postsynaptic cell membrane; Endoplasmic reticulum; Nucleus; Cytoplasm; Cytoplasmic vesicle membrane; Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Endosome membrane; Melanosome membrane; Postsynaptic cell membrane; Endoplasmic reticulum;",ENST00000338950.9;ENST00000344537.10,0,,Albinism;Alternative initiation;Alternative splicing;Cell membrane;Coiled coil;Cytoplasm;Cytoplasmic vesicle;Endoplasmic reticulum;Endosome;Hermansky-Pudlak syndrome;Membrane;Nucleus;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Reference proteome;Schizophrenia;Sensory transduction;Synapse;Ubl conjugation,Hermansky-Pudlak syndrome 7; ;,0
A1KXE4,F168B_HUMAN,FAM168B,Myelin-associated neurite-outgrowth inhibitor,195,"Cytoplasm, perinuclear region; Cell membrane; Cell projection, axon;",ENST00000389915.4;ENST00000409185.5;ENST00000894388.1;ENST00000894389.1;ENST00000894390.1;ENST00000894391.1;ENST00000894392.1;ENST00000894393.1;ENST00000894396.1;ENST00000894397.1;ENST00000894398.1;ENST00000894399.1;ENST00000894400.1;ENST00000894401.1;ENST00000894402.1;ENST00000894403.1;ENST00000894404.1;ENST00000894405.1;ENST00000894406.1;ENST00000894407.1;ENST00000894408.1;ENST00000894409.1;ENST00000894410.1;ENST00000894412.1;ENST00000930096.1;ENST00000954277.1;ENST00000954279.1;ENST00000954283.1;ENST00000954285.1,0,,Acetylation;Alternative splicing;Cell membrane;Cell projection;Cytoplasm;Glycoprotein;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,2
O75078,ADA11_HUMAN,ADAM11,Disintegrin and metalloproteinase domain-containing protein 11,769,"Presynaptic cell membrane; Perikaryon; Cell projection, axon;",ENST00000200557.11,0,,Alternative splicing;Cell membrane;Cell projection;Cleavage on pair of basic residues;Disulfide bond;EGF-like domain;Glycoprotein;Membrane;Proteomics identification;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix,,1
P05129,KPCG_HUMAN,PRKCG,Protein kinase C gamma type,697,"Cytoplasm; Cytoplasm, perinuclear region; Cell membrane; Synapse, synaptosome; Cell projection, dendrite;",ENST00000263431.4,16,186:Ca(2+);187:Ca(2+);187:Ca(2+);193:Ca(2+);246:Ca(2+);246:Ca(2+);247:Ca(2+);248:Ca(2+);248:Ca(2+);248:Ca(2+);251:Ca(2+);252:Ca(2+);254:Ca(2+);254:Ca(2+);357:ATP;380:ATP,3D-structure;Alternative splicing;ATP-binding;Biological rhythms;Calcium;Cell membrane;Cell projection;Cytoplasm;Disease variant;Kinase;Membrane;Metal-binding;Neurodegeneration;Nucleotide-binding;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Serine/threonine-protein kinase;Spinocerebellar ataxia;Synapse;Synaptosome;Transferase;Ubl conjugation;Zinc;Zinc-finger,Spinocerebellar ataxia 14;,0
P13598,ICAM2_HUMAN,ICAM2,Intercellular adhesion molecule 2,275,"Cell membrane; Cell projection, microvillus;",ENST00000412356.5;ENST00000418105.5;ENST00000449662.6;ENST00000579687.5;ENST00000579788.6;ENST00000852958.1;ENST00000965114.1;ENST00000965115.1;ENST00000965116.1,0,,3D-structure;Cell adhesion;Cell membrane;Cell projection;Direct protein sequencing;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Proteomics identification;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,,1
P18433,PTPRA_HUMAN,PTPRA,Receptor-type tyrosine-protein phosphatase alpha,802,"Cell membrane; Cell junction, focal adhesion;",ENST00000216877.10;ENST00000318266.9;ENST00000356147.3;ENST00000399903.7;ENST00000876898.1;ENST00000876899.1;ENST00000876900.1;ENST00000876901.1;ENST00000876902.1;ENST00000876903.1;ENST00000876904.1;ENST00000876905.1;ENST00000876906.1;ENST00000876907.1;ENST00000876915.1;ENST00000876917.1;ENST00000876918.1;ENST00000876920.1;ENST00000876922.1;ENST00000876923.1;ENST00000876925.1;ENST00000876926.1;ENST00000876927.1;ENST00000876933.1;ENST00000911874.1;ENST00000911878.1;ENST00000911883.1;ENST00000911885.1;ENST00000970270.1;ENST00000970274.1;ENST00000970276.1;ENST00000970278.1;ENST00000970282.1;ENST00000970283.1;ENST00000970285.1;ENST00000970286.1;ENST00000970287.1;ENST00000970289.1;ENST00000970290.1;ENST00000970291.1,3,410:substrate;442:substrate;486:substrate,3D-structure;Alternative splicing;Cell junction;Cell membrane;Glycoprotein;Hydrolase;Membrane;Phosphoprotein;Protein phosphatase;Proteomics identification;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,,1
P29033,CXB2_HUMAN,GJB2,Gap junction beta-2 protein,226,"Cell membrane; Cell junction, gap junction;",ENST00000382844.2;ENST00000382848.5;ENST00000906230.1;ENST00000906231.1;ENST00000906232.1;ENST00000906233.1;ENST00000906234.1;ENST00000906235.1;ENST00000906236.1;ENST00000957350.1,3,42:Ca(2+);45:Ca(2+);47:Ca(2+),3D-structure;Calcium;Cell junction;Cell membrane;Deafness;Disease variant;Disulfide bond;Ectodermal dysplasia;Gap junction;Hearing;Ichthyosis;Membrane;Metal-binding;Non-syndromic deafness;Palmoplantar keratoderma;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,"Deafness, autosomal recessive, 1A; Deafness, autosomal dominant, 3A; Vohwinkel syndrome; Keratoderma, palmoplantar, with deafness; Keratitis-ichthyosis-deafness syndrome, autosomal dominant; Bart-Pumphrey syndrome; Ichthyosis hystrix-like with deafness syndrome;",4
Q53H80,AKIR2_HUMAN,AKIRIN2,Akirin-2,203,Nucleus; Cytoplasm; Membrane;,ENST00000257787.6,0,,3D-structure;Adaptive immunity;Cytoplasm;Developmental protein;Immunity;Innate immunity;Membrane;Nucleus;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Repressor;Transcription;Transcription regulation;Transport;Ubl conjugation,,0
Q8IU80,TMPS6_HUMAN,TMPRSS6,Transmembrane protease serine 6,811,Cell membrane;,ENST00000346753.9;ENST00000381792.6;ENST00000406725.6;ENST00000406856.7;ENST00000676104.1;ENST00000862824.1;ENST00000862826.1;ENST00000862837.1;ENST00000862847.1;ENST00000862853.1,0,,3D-structure;Alternative splicing;Cell membrane;Disease variant;Disulfide bond;Glycoprotein;Hydrolase;Membrane;Protease;Proteomics identification;Reference proteome;Repeat;Serine protease;Signal-anchor;Transmembrane;Transmembrane helix;Zymogen,Iron-refractory iron deficiency anemia;,1
Q8NHJ6,LIRB4_HUMAN,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,448,Cell membrane;,ENST00000391736.5;ENST00000612454.4;ENST00000614699.4;ENST00000621693.4,0,,3D-structure;Adaptive immunity;Alternative splicing;Cell membrane;Disulfide bond;Immunity;Immunoglobulin domain;Membrane;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,,1
Q96D71,REPS1_HUMAN,REPS1,RalBP1-associated Eps domain-containing protein 1,796,"Membrane, clathrin-coated pit;",ENST00000258062.9;ENST00000367663.8;ENST00000409812.6;ENST00000450536.7,4,331:Ca(2+);333:Ca(2+);335:Ca(2+);342:Ca(2+),Alternative splicing;Calcium;Coated pit;Coiled coil;Disease variant;Membrane;Metal-binding;Neurodegeneration;Phosphoprotein;Proteomics identification;Reference proteome;Repeat,Neurodegeneration with brain iron accumulation 7;,0
Q9UDY4,DNJB4_HUMAN,DNAJB4,DnaJ homolog subfamily B member 4,337,"Cytoplasm; Cell membrane; Cytoplasm, myofibril, sarcomere, Z line;",ENST00000370763.6;ENST00000867099.1;ENST00000867100.1;ENST00000939131.1;ENST00000939132.1;ENST00000939133.1;ENST00000939134.1;ENST00000939135.1;ENST00000939136.1;ENST00000957220.1,0,,Cell membrane;Chaperone;Cytoplasm;Direct protein sequencing;Disease variant;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Stress response,Congenital myopathy 21 with early respiratory failure;,0
O60469,DSCAM_HUMAN,DSCAM,Cell adhesion molecule DSCAM,2012,"Secreted; Cell membrane; Cell projection, axon; Cell projection, dendrite; Cell projection, growth cone; Synapse;",ENST00000400454.6;ENST00000708009.1,0,,3D-structure;Alternative splicing;Cell adhesion;Cell membrane;Cell projection;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Neurogenesis;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Secreted;Signal;Synapse;Transmembrane;Transmembrane helix,,1
P41146,OPRX_HUMAN,OPRL1,Nociceptin receptor,370,Cell membrane; Cytoplasmic vesicle;,ENST00000336866.7;ENST00000349451.3;ENST00000355631.8;ENST00000879249.1;ENST00000879250.1;ENST00000879251.1;ENST00000879252.1;ENST00000879253.1;ENST00000879254.1;ENST00000879255.1;ENST00000879256.1;ENST00000921128.1;ENST00000942720.1;ENST00000942721.1;ENST00000942722.1;ENST00000942723.1,0,,3D-structure;Alternative splicing;Behavior;Cell membrane;Cytoplasmic vesicle;Disulfide bond;G protein-coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,,7
Q14289,FAK2_HUMAN,PTK2B,Protein-tyrosine kinase 2-beta,1009,"Cytoplasm; Cytoplasm, perinuclear region; Cell membrane; Cell junction, focal adhesion; Cell projection, lamellipodium; Cytoplasm, cell cortex; Nucleus;",ENST00000346049.10;ENST00000397501.5;ENST00000420218.3;ENST00000517339.5;ENST00000894137.1;ENST00000894138.1;ENST00000894139.1;ENST00000894140.1;ENST00000894141.1;ENST00000894142.1;ENST00000894143.1;ENST00000894145.1;ENST00000894150.1;ENST00000894151.1;ENST00000894152.1;ENST00000894153.1;ENST00000894154.1;ENST00000913748.1;ENST00000913749.1;ENST00000913751.1;ENST00000956521.1;ENST00000956525.1;ENST00000956526.1,3,431:ATP;457:ATP;503:ATP,3D-structure;Adaptive immunity;Alternative splicing;Angiogenesis;ATP-binding;Cell junction;Cell membrane;Cell projection;Cytoplasm;Immunity;Kinase;Membrane;Nucleotide-binding;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;Transferase;Tyrosine-protein kinase,;,0
Q9UBF8,PI4KB_HUMAN,PI4KB,Phosphatidylinositol 4-kinase beta,816,"Endomembrane system; Mitochondrion outer membrane; Rough endoplasmic reticulum membrane; Golgi apparatus; Golgi apparatus membrane; Cytoplasm, perinuclear region;",ENST00000368872.5;ENST00000368873.6;ENST00000368874.8;ENST00000529142.5;ENST00000852743.1;ENST00000852744.1;ENST00000852748.1;ENST00000852751.1;ENST00000852754.1;ENST00000852756.1;ENST00000852764.1;ENST00000852765.1;ENST00000933551.1;ENST00000933552.1;ENST00000933553.1;ENST00000943240.1;ENST00000943243.1,0,,3D-structure;Acetylation;Alternative splicing;ATP-binding;Cytoplasm;Deafness;Direct protein sequencing;Disease variant;Endoplasmic reticulum;Golgi apparatus;Host-virus interaction;Kinase;Lipid metabolism;Membrane;Mitochondrion;Mitochondrion outer membrane;Non-syndromic deafness;Nucleotide-binding;Phosphoprotein;Proteomics identification;Reference proteome;Transferase,"Deafness, autosomal dominant, 87;",0
O15155,BET1_HUMAN,BET1,BET1 homolog,118,"Endoplasmic reticulum membrane; Golgi apparatus, cis-Golgi network membrane; Golgi apparatus membrane;",ENST00000222547.8;ENST00000433727.5,0,,3D-structure;Alternative splicing;Coiled coil;Congenital muscular dystrophy;Endoplasmic reticulum;ER-Golgi transport;Golgi apparatus;Membrane;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport,"Muscular dystrophy, congenital, with rapid progression;",1
O94979,SC31A_HUMAN,SEC31A,Protein transport protein Sec31A,1220,"Cytoplasm; Cytoplasmic vesicle, COPII-coated vesicle membrane; Endoplasmic reticulum membrane; Cytoplasm, cytosol;",ENST00000311785.11;ENST00000348405.8;ENST00000355196.6;ENST00000395310.7;ENST00000443462.6;ENST00000448323.5;ENST00000500777.6;ENST00000505984.5;ENST00000508502.5;ENST00000509142.5;ENST00000513858.5;ENST00000854378.1;ENST00000854379.1;ENST00000854380.1;ENST00000854383.1;ENST00000854402.1;ENST00000854405.1;ENST00000854406.1;ENST00000854407.1;ENST00000854408.1;ENST00000854412.1;ENST00000922809.1;ENST00000951366.1;ENST00000951372.1;ENST00000951373.1,0,,3D-structure;Alternative splicing;Chromosomal rearrangement;Cytoplasm;Cytoplasmic vesicle;Endoplasmic reticulum;ER-Golgi transport;Isopeptide bond;Membrane;Phosphoprotein;Protein transport;Proteomics identification;Proto-oncogene;Reference proteome;Repeat;Transport;Ubl conjugation;WD repeat,Halperin-Birk syndrome; ;,0
Q53H12,AGK_HUMAN,AGK,"Acylglycerol kinase, mitochondrial",422,Mitochondrion inner membrane; Mitochondrion intermembrane space;,ENST00000492693.5;ENST00000575872.2;ENST00000648068.1;ENST00000649286.2;ENST00000650547.1;ENST00000909102.1;ENST00000909104.1;ENST00000909105.1;ENST00000909106.1;ENST00000912226.1;ENST00000912228.1;ENST00000962104.1;ENST00000962105.1;ENST00000962106.1,0,,3D-structure;Acetylation;Alternative splicing;ATP-binding;Cardiomyopathy;Cataract;Disease variant;Kinase;Lipid metabolism;Membrane;Mitochondrion;Mitochondrion inner membrane;Nucleotide-binding;Primary mitochondrial disease;Proteomics identification;Reference proteome;Transferase,Mitochondrial DNA depletion syndrome 10; Cataract 38;,0
O15393,TMPS2_HUMAN,TMPRSS2,Transmembrane protease serine 2,492,Cell membrane; Secreted;,ENST00000332149.10;ENST00000398585.7;ENST00000454499.6;ENST00000458356.6;ENST00000676973.1;ENST00000678348.1;ENST00000679054.1;ENST00000864262.1;ENST00000864269.1;ENST00000864270.1;ENST00000864271.1;ENST00000864272.1;ENST00000864273.1;ENST00000864274.1;ENST00000864275.1;ENST00000864276.1;ENST00000864277.1;ENST00000966230.1;ENST00000966233.1,5,131:Ca(2+);134:Ca(2+);136:Ca(2+);144:Ca(2+);145:Ca(2+),3D-structure;Alternative splicing;Autocatalytic cleavage;Cell membrane;Disulfide bond;Glycoprotein;Host-virus interaction;Hydrolase;Membrane;Protease;Proteomics identification;Reference proteome;Secreted;Serine protease;Signal-anchor;Transmembrane;Transmembrane helix;Zymogen,,1
P26572,MGAT1_HUMAN,MGAT1,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",445,"Golgi apparatus membrane; Cytoplasm, perinuclear region;",ENST00000307826.5;ENST00000333055.8;ENST00000393340.7;ENST00000427865.2;ENST00000446023.6;ENST00000896404.1;ENST00000896405.1;ENST00000896406.1;ENST00000896407.1;ENST00000896408.1;ENST00000896409.1;ENST00000896410.1;ENST00000896411.1;ENST00000896412.1;ENST00000896413.1;ENST00000896414.1;ENST00000896415.1;ENST00000896416.1;ENST00000916776.1;ENST00000916777.1;ENST00000916778.1;ENST00000946446.1;ENST00000946447.1;ENST00000946448.1;ENST00000946449.1;ENST00000946450.1;ENST00000946451.1;ENST00000946452.1;ENST00000946453.1;ENST00000946454.1;ENST00000946455.1;ENST00000946456.1;ENST00000946457.1;ENST00000946458.1;ENST00000946459.1;ENST00000946460.1;ENST00000946461.1;ENST00000946462.1;ENST00000946463.1;ENST00000946464.1,6,115:substrate;142:substrate;188:substrate;210:substrate;211:Mn(2+);320:substrate,Cytoplasm;Disulfide bond;Glycosyltransferase;Golgi apparatus;Manganese;Membrane;Metal-binding;Proteomics identification;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix,,1
P32456,GBP2_HUMAN,GBP2,Guanylate-binding protein 2,591,"Cytoplasmic vesicle membrane; Golgi apparatus membrane; Cytoplasm; Cytoplasm, perinuclear region;",ENST00000370466.4;ENST00000464839.5;ENST00000875572.1;ENST00000875573.1,3,45:GTP;181:GTP;245:GTP,3D-structure;Antimicrobial;Cytoplasm;Cytoplasmic vesicle;Golgi apparatus;GTP-binding;Hydrolase;Immunity;Innate immunity;Lipoprotein;Membrane;Methylation;Nucleotide-binding;Prenylation;Proteomics identification;Reference proteome;Ubl conjugation,,0
P40126,TYRP2_HUMAN,DCT,L-dopachrome tautomerase,519,Melanosome membrane; Melanosome;,ENST00000377028.10;ENST00000446125.1,6,189:Zn(2+);211:Zn(2+);220:Zn(2+);369:Zn(2+);373:Zn(2+);396:Zn(2+),3D-structure;Albinism;Alternative splicing;Disease variant;Glycoprotein;Isomerase;Melanin biosynthesis;Membrane;Metal-binding;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix;Zinc,"Albinism, oculocutaneous, 8;",1
Q16549,PCSK7_HUMAN,PCSK7,Proprotein convertase subtilisin/kexin type 7,785,"Golgi apparatus, trans-Golgi network membrane;",ENST00000320934.8;ENST00000524507.6;ENST00000676339.1;ENST00000928998.1;ENST00000950974.1,0,,Cleavage on pair of basic residues;Glycoprotein;Golgi apparatus;Hydrolase;Lipoprotein;Membrane;Palmitate;Protease;Proteomics identification;Reference proteome;Serine protease;Signal;Transmembrane;Transmembrane helix;Zymogen,,1
Q86U90,YRDC_HUMAN,YRDC,Threonylcarbamoyl-AMP synthase,279,Cytoplasm; Mitochondrion; Cell membrane;,ENST00000373044.3,0,,Cell membrane;Cytoplasm;Disease variant;Epilepsy;Intellectual disability;Membrane;Mitochondrion;Phosphoprotein;Proteomics identification;Reference proteome;Transferase;Transit peptide,Galloway-Mowat syndrome 10;,0
Q8N490,PNKD_HUMAN,PNKD,Probable thioesterase PNKD,385,Cell membrane; Mitochondrion; Cytoplasm; Mitochondrion; Mitochondrion; Golgi apparatus; Endoplasmic reticulum;,ENST00000248451.7;ENST00000258362.7;ENST00000273077.9,8,172:Zn(2+);174:Zn(2+);176:Zn(2+);177:Zn(2+);229:Zn(2+);253:Zn(2+);253:Zn(2+);291:Zn(2+),Alternative splicing;Cell membrane;Cytoplasm;Disease variant;Dystonia;Endoplasmic reticulum;Golgi apparatus;Hydrolase;Membrane;Metal-binding;Mitochondrion;Proteomics identification;Reference proteome;Zinc,Paroxysmal non-kinesigenic dyskinesia 1;,0
